t_s,V_pu,delta_V_pu,V_initial_pu
1.62,1.0245226428341296,-0.0054773571706761,1.0300000000048057
1.63,1.024549717331071,-0.005450282673734819,1.0300000000048057
1.64,1.0245752641312242,-0.005424735873581499,1.0300000000048057
1.65,1.0245992558592874,-0.005400744145518388,1.0300000000048057
1.66,1.0246216677735347,-0.0053783322312710435,1.0300000000048057
1.67,1.0246424777845549,-0.0053575222202508765,1.0300000000048057
1.68,1.024661666481493,-0.00533833352331281,1.0300000000048057
1.69,1.024679217165487,-0.005320782839318694,1.0300000000048057
1.7,1.024695115888637,-0.0053048841161686955,1.0300000000048057
1.71,1.024709351497369,-0.005290648507436657,1.0300000000048057
1.72,1.024721915679066,-0.00527808432573984,1.0300000000048057
1.73,1.0247328030103804,-0.005267196994425349,1.0300000000048057
1.74,1.0247420110060028,-0.0052579889988029205,1.0300000000048057
1.75,1.0247495401665059,-0.005250459838299859,1.0300000000048057
1.76,1.0247553940239646,-0.005244605980841088,1.0300000000048057
1.77,1.024759579183907,-0.005240420820898706,1.0300000000048057
1.78,1.0247621053625329,-0.005237894642272867,1.0300000000048057
1.79,1.024762985417838,-0.005237014586967792,1.0300000000048057
1.8,1.0247622353736365,-0.005237764631169206,1.0300000000048057
1.81,1.0247598744353346,-0.005240125569471177,1.0300000000048057
1.82,1.024755924996646,-0.00524407500815971,1.0300000000048057
1.83,1.0247504126362161,-0.005249587368589603,1.0300000000048057
1.84,1.02474336610365,-0.005256633901155716,1.0300000000048057
1.85,1.0247348172940536,-0.005265182710752159,1.0300000000048057
1.86,1.0247248012108738,-0.005275198793931901,1.0300000000048057
1.87,1.024713355916328,-0.005286644088477788,1.0300000000048057
1.88,1.0247005224695198,-0.005299477535285924,1.0300000000048057
1.89,1.0246863448516688,-0.005313655153136976,1.0300000000048057
1.9,1.02467086987898,-0.0053291301258258095,1.0300000000048057
1.91,1.0246541471025459,-0.005345852902259862,1.0300000000048057
1.92,1.0246362286963893,-0.005363771308416476,1.0300000000048057
1.93,1.024617169332884,-0.00538283067192169,1.0300000000048057
1.94,1.0245970260472603,-0.005402973957545409,1.0300000000048057
1.95,1.024575858090328,-0.00542414191447782,1.0300000000048057
1.96,1.0245537267715505,-0.005446273233255194,1.0300000000048057
1.97,1.024530695291608,-0.005469304713197731,1.0300000000048057
1.98,1.024506828566897,-0.005493171437908728,1.0300000000048057
1.99,1.0244821930451304,-0.005517806959675298,1.0300000000048057
2.0,1.0244568565147105,-0.005543143490095215,1.0300000000048057
2.01,1.0244308879071402,-0.0055691120976655295,1.0300000000048057
