t_s,delta_pm_pu,Pm0_pu_sysbase
1.52,0.04893223726119737,1.1175729314688707
1.53,0.0489867613187824,1.1175729314688707
1.54,0.04903662351558585,1.1175729314688707
1.55,0.049082071454594124,1.1175729314688707
1.56,0.04912335625739243,1.1175729314688707
1.57,0.049160731823574326,1.1175729314688707
1.58,0.04919445406618261,1.1175729314688707
1.59,0.04922478012861781,1.1175729314688707
1.6,0.04925196758916261,1.1175729314688707
1.61,0.04927627365873996,1.1175729314688707
1.62,0.04929795437774627,1.1175729314688707
1.63,0.049317263817426175,1.1175729314688707
1.64,0.04933445329143438,1.1175729314688707
1.65,0.04934977058244289,1.1175729314688707
1.66,0.049363459189144775,1.1175729314688707
1.67,0.04937575759799147,1.1175729314688707
1.68,0.04938689858404336,1.1175729314688707
1.69,0.049397108545312145,1.1175729314688707
1.7,0.0494066068736673,1.1175729314688707
1.71,0.04941560536582086,1.1175729314688707
1.72,0.04942430767764902,1.1175729314688707
1.73,0.04943290882338991,1.1175729314688707
1.74,0.04944159472279745,1.1175729314688707
1.75,0.049450541797227195,1.1175729314688707
1.76,0.04945991661585874,1.1175729314688707
1.77,0.049469875593538146,1.1175729314688707
1.78,0.04948056474002954,1.1175729314688707
1.79,0.04949211946081979,1.1175729314688707
1.8,0.049504664409667054,1.1175729314688707
1.81,0.049518313391488246,1.1175729314688707
1.82,0.04953316931540411,1.1175729314688707
1.83,0.04954932419584639,1.1175729314688707
1.84,0.04956685920096272,1.1175729314688707
1.85,0.049585844745675824,1.1175729314688707
1.86,0.04960634062813103,1.1175729314688707
1.87,0.04962839620645985,1.1175729314688707
1.88,0.04965205061418256,1.1175729314688707
1.89,0.04967733301093625,1.1175729314688707
1.9,0.04970426286628086,1.1175729314688707
1.91,0.04973285027366593,1.1175729314688707
1.92,0.049763096291153754,1.1175729314688707
1.93,0.04979499330702598,1.1175729314688707
1.94,0.04982852542585364,1.1175729314688707
1.95,0.049863668873596424,1.1175729314688707
1.96,0.04990039241729819,1.1175729314688707
1.97,0.04993865779788935,1.1175729314688707
1.98,0.04997842017193149,1.1175729314688707
1.99,0.05001962856082035,1.1175729314688707
2.0,0.05006222630361475,1.1175729314688707
2.01,0.05010615151205617,1.1175729314688707
2.02,0.050151337524530215,1.1175729314688707
2.03,0.05019771335710666,1.1175729314688707
2.04,0.05024520414973295,1.1175729314688707
2.05,0.05029373160508463,1.1175729314688707
2.06,0.05034321441894754,1.1175729314688707
2.07,0.050393568699923515,1.1175729314688707
2.08,0.05044470837754996,1.1175729314688707
2.09,0.05049654559711784,1.1175729314688707
2.1,0.05054899110047042,1.1175729314688707
