t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
0.4,0.2459103195557581,0.007476106087231718,0.2459103195557581,0.007476106087231718,0.3571476379991351,-0.1128736069616496,0.0,0.0,SG-slack
0.41,0.2713066659847638,0.004318675984333789,0.2713066659847638,0.004318675984333789,0.3825439844281408,-0.11603103706454752,0.0,0.0,SG-slack
0.42,0.2972119463948362,0.001362006153845574,0.2972119463948362,0.001362006153845574,0.40844926483821326,-0.11898770689503574,0.0,0.0,SG-slack
0.43,0.3235497111381703,-0.0012078948161460407,0.3235497111381703,-0.0012078948161460407,0.43478702958154736,-0.12155760786502735,0.0,0.0,SG-slack
0.44,0.3502382588336967,-0.0035180077778177166,0.3502382588336967,-0.0035180077778177166,0.4614755772770737,-0.12386772082669903,0.0,0.0,SG-slack
0.45,0.37719905143203236,-0.005809059600847599,0.37719905143203236,-0.005809059600847599,0.4884363698754094,-0.1261587726497289,0.0,0.0,SG-slack
0.46,0.40435881994860834,-0.008208915889535234,0.40435881994860834,-0.008208915889535234,0.5155961383919854,-0.12855862893841655,0.0,0.0,SG-slack
0.47,0.43164538539852715,-0.01068530731993969,0.43164538539852715,-0.01068530731993969,0.5428827038419042,-0.131035020368821,0.0,0.0,SG-slack
0.48,0.45898525094037745,-0.013130698569517152,0.45898525094037745,-0.013130698569517152,0.5702225693837545,-0.13348041161839846,0.0,0.0,SG-slack
0.49,0.48630530403840844,-0.015458945738471508,0.48630530403840844,-0.015458945738471508,0.5975426224817855,-0.13580865878735282,0.0,0.0,SG-slack
0.5,0.5135358716213556,-0.017650881543592872,0.5135358716213556,-0.017650881543592872,0.6247731900647326,-0.13800059459247419,0.0,0.0,SG-slack
0.51,0.5406122935599731,-0.019737588299918146,0.5406122935599731,-0.019737588299918146,0.6518496120033501,-0.14008730134879946,0.0,0.0,SG-slack
0.52,0.5674741774127136,-0.021755411785888634,0.5674741774127136,-0.021755411785888634,0.6787114958560906,-0.14210512483476995,0.0,0.0,SG-slack
0.53,0.5940637863254711,-0.023715999290462753,0.5940637863254711,-0.023715999290462753,0.7053011047688481,-0.14406571233934407,0.0,0.0,SG-slack
0.54,0.6203254351579711,-0.025605844140695694,0.6203254351579711,-0.025605844140695694,0.7315627536013481,-0.145955557189577,0.0,0.0,SG-slack
0.55,0.6462063459468321,-0.02740337437015003,0.6462063459468321,-0.02740337437015003,0.7574436643902092,-0.14775308741903134,0.0,0.0,SG-slack
0.56,0.6716580568279243,-0.02909515668045451,0.6716580568279243,-0.02909515668045451,0.7828953752713014,-0.14944486972933582,0.0,0.0,SG-slack
0.57,0.6966372675027888,-0.030680570458403278,0.6966372675027888,-0.030680570458403278,0.8078745859461658,-0.1510302835072846,0.0,0.0,SG-slack
0.58,0.7211057280899282,-0.03216626049990323,0.7211057280899282,-0.03216626049990323,0.8323430465333053,-0.15251597354878454,0.0,0.0,SG-slack
0.59,0.7450296009769034,-0.03355824836738219,0.7450296009769034,-0.03355824836738219,0.8562669194202804,-0.1539079614162635,0.0,0.0,SG-slack
0.6,0.7683789643523994,-0.034858012862611254,0.7683789643523994,-0.034858012862611254,0.8796162827957764,-0.15520772591149257,0.0,0.0,SG-slack
0.61,0.79112777861598,-0.036063582814308964,0.79112777861598,-0.036063582814308964,0.9023650970593571,-0.15641329586319028,0.0,0.0,SG-slack
0.62,0.813254161093658,-0.037172883294984804,0.813254161093658,-0.037172883294984804,0.924491479537035,-0.15752259634386612,0.0,0.0,SG-slack
0.63,0.8347406128185808,-0.03818613919980085,0.8347406128185808,-0.03818613919980085,0.9459779312619578,-0.15853585224868216,0.0,0.0,SG-slack
