t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,q_abs_pu,q_initial_pu,asset_type,device_name
0.57,0.00901745399734165,1.0090174539975767,1.0000000000002351,0.01370003284058883,1.5888978383658678,1.5751978055252789,GFL,gen-2
0.58,0.007620236154263873,1.007620236154499,1.0000000000002351,0.014377543482482975,1.5895753490077618,1.5751978055252789,GFL,gen-2
0.59,0.006165819971915287,1.0061658199721504,1.0000000000002351,0.014997478687172007,1.590195284212451,1.5751978055252789,GFL,gen-2
0.6,0.004662281504394545,1.0046622815046298,1.0000000000002351,0.01555273361592297,1.5907505391412018,1.5751978055252789,GFL,gen-2
0.61,0.0031179446467642967,1.0031179446469995,1.0000000000002351,0.01603786196705617,1.5912356674923351,1.5751978055252789,GFL,gen-2
0.62,0.0015398624947379385,1.0015398624949732,1.0000000000002351,0.016449524569122742,1.5916473300944016,1.5751978055252789,GFL,gen-2
0.63,-6.590552540378648e-5,0.9999340944748314,1.0000000000002351,0.01678555773447348,1.5919833632597524,1.5751978055252789,GFL,gen-2
0.64,-0.0016931751611976228,0.9983068248390375,1.0000000000002351,0.017043879307960717,1.5922416848332395,1.5751978055252789,GFL,gen-2
0.65,-0.0033348248626009595,0.9966651751376342,1.0000000000002351,0.017222068060229117,1.592419873585508,1.5751978055252789,GFL,gen-2
0.66,-0.004982771208308624,0.9950172287919266,1.0000000000002351,0.017317655978693166,1.592515461503972,1.5751978055252789,GFL,gen-2
0.67,-0.006628484771051641,0.9933715152291834,1.0000000000002351,0.01732866720237544,1.5925264727276542,1.5751978055252789,GFL,gen-2
0.68,-0.008263529902567427,0.9917364700976677,1.0000000000002351,0.017253951708944202,1.592451757234223,1.5751978055252789,GFL,gen-2
0.69,-0.00987980168906748,0.9901201983111676,1.0000000000002351,0.017093178721700165,1.592290984246979,1.5751978055252789,GFL,gen-2
0.7,-0.011469468971372765,0.9885305310288623,1.0000000000002351,0.01684663652830711,1.592044442053586,1.5751978055252789,GFL,gen-2
0.71,-0.013024827316001408,0.9869751726842337,1.0000000000002351,0.016515054460920015,1.591712859986199,1.5751978055252789,GFL,gen-2
