t_s,p_oc_pu,delta_p_oc_pu,p_ref_eff_pu,p_error_pu,omega_pll_pu,Kw
6.76,0.43154708220059357,4.554387040574342e-5,1.0952481649330321,0.6637010827324386,0.9993402272356974,10.0
6.77,0.43154610735585125,4.456902566350778e-5,1.0952489857825092,0.6637028784266579,0.9993401944017184,10.0
6.78,0.43154501828436836,4.3479954180614534e-5,1.0952498181746304,0.6637047998902621,0.9993401611060335,10.0
6.79,0.43154381986511464,4.228153492691021e-5,1.0952506606377057,0.6637068407725909,0.9993401274075105,10.0
6.8,0.43154251715620845,4.0978826020649416e-5,1.0952515116942985,0.66370899453809,0.9993400933652469,10.0
6.81,0.43154111537940537,3.9577049217589935e-5,1.0952523698649637,0.6637112544855582,0.9993400590384202,10.0
6.82,0.43153961990448914,3.808157430136012e-5,1.0952532336719187,0.6637136137674297,0.999340024486142,10.0
6.83,0.4315380362335538,3.649790336601144e-5,1.095254101642661,0.6637160654091071,0.9993399897673123,10.0
6.84,0.43153636998525463,3.4831655066842207e-5,1.0952549723134875,0.6637186023282328,0.9993399549404793,10.0
6.85,0.43153462687905153,3.3088548863725485e-5,1.0952558442329534,0.6637212173539019,0.9993399200637006,10.0
6.86,0.43153281271948185,3.1274389294073695e-5,1.095256715965222,0.6637239032457403,0.9993398851944099,10.0
6.87,0.43153093338051074,2.9395050322952652e-5,1.0952575860933287,0.6637266527128178,0.9993398503892856,10.0
6.88,0.43152899478998225,2.745645979447468e-5,1.0952584532223346,0.6637294584323523,0.9993398157041253,10.0
6.89,0.4315270029142206,2.546458403278717e-5,1.0952593159823802,0.6637323130681597,0.9993397811937235,10.0
6.9,0.43152496374280613,2.3425412618339395e-5,1.0952601730316103,0.6637352092888043,0.9993397469117543,10.0
6.91,0.43152288327356636,2.1344943378583365e-5,1.0952610230589905,0.6637381397854241,0.9993397129106592,10.0
6.92,0.4315207674978119,1.922916762409648e-5,1.095261864786999,0.663741097289187,0.9993396792415388,10.0
6.93,0.4315186223858489,1.708405566113298e-5,1.0952626969741805,0.6637440745883316,0.9993396459540516,10.0
6.94,0.4315164538728013,1.4915542613536887e-5,1.095263518417575,0.6637470645447736,0.9993396130963157,10.0
6.95,0.4315142678447681,1.2729514580290643e-5,1.0952643279550112,0.6637500601102432,0.9993395807148183,10.0
6.96,0.4315120701253462,1.0531795158435198e-5,1.0952651244672458,0.6637530543418996,0.9993395488543289,10.0
6.97,0.4315098664625418,8.328132354021444e-6,1.095265906879984,0.6637560404174421,0.9993395175578194,10.0
6.98,0.4315076625161041,6.1241859163417845e-6,1.095266674165741,0.663759011649637,0.9993394868663892,10.0
6.99,0.4315054638452881,3.925515100316013e-6,1.09526742534555,0.663761961500262,0.9993394568191968,10.0
7.0,0.43150327589708876,1.7375669009431753e-6,1.0952681594905342,0.6637648835934457,0.9993394274533974,10.0
7.01,0.43150110399495256,-4.3433523521334794e-7,1.0952688757233229,0.6637677717283704,0.9993393988040858,10.0
7.02,0.4314989533279938,-2.5850021939638634e-6,1.0952695732193305,0.6637706198913367,0.9993393709042455,10.0
7.03,0.43149682894071717,-4.709389470626614e-6,1.0952702512078525,0.6637734222671353,0.9993393437847047,10.0
7.04,0.4314947357232935,-6.802606894308134e-6,1.095270908973048,0.6637761732497544,0.9993393174740969,10.0
7.05,0.4314926784023701,-8.859927817653357e-6,1.0952715458547488,0.6637788674523787,0.9993392919988289,10.0
7.06,0.43149066153244564,-1.087679774214119e-5,1.0952721612491223,0.6637814997166767,0.9993392673830539,10.0
7.07,0.4314886894878203,-1.2848842367467204e-5,1.095272754609187,0.6637840651213666,0.9993392436486512,10.0
7.08,0.4314867664551213,-1.4771875066505618e-5,1.0952733254451859,0.6637865589900647,0.9993392208152113,10.0
7.09,0.4314848964264305,-1.664190375725542e-5,1.095273873324798,0.6637889768983674,0.9993391989000269,10.0
7.1,0.43148308319298834,-1.8455137199450818e-5,1.0952743978732322,0.663791314680244,0.9993391779180895,10.0
7.11,0.4314813303395208,-2.0207990666985767e-5,1.095274898773147,0.6637935684336265,0.9993391578820929,10.0
7.12,0.43147964123915133,-2.18970910364081e-5,1.0952753757644518,0.6637957345253004,0.9993391388024407,10.0
7.13,0.4314780190489326,-2.351928125517282e-5,1.0952758286439837,0.663797809595051,0.9993391206872594,10.0
7.14,0.43147646670597617,-2.5071624211603326e-5,1.0952762572650068,0.6637997905590307,0.9993391035424185,10.0
7.15,0.43147498692418307,-2.655140600471925e-5,1.0952766615366412,0.6638016746124581,0.9993390873715531,10.0
7.16,0.4314735821915868,-2.7956138600944986e-5,1.0952770414231148,0.663803459231528,0.9993390721760942,10.0
7.17,0.43147225476829887,-2.9283561888894713e-5,1.0952773969429241,0.6638051421746252,0.9993390579553018,10.0
7.18,0.4314710066850135,-3.0531645174256484e-5,1.0952777281678727,0.6638067214828594,0.9993390447063039,10.0
7.19,0.4314698397421373,-3.1698588050491175e-5,1.0952780352219806,0.6638081954798433,0.9993390324241396,10.0
7.2,0.43146875550947617,-3.278282071159148e-5,1.0952783182803056,0.6638095627708295,0.9993390211018065,10.0
7.21,0.4314677553264882,-3.3783003699595865e-5,1.0952785775676537,0.6638108222411656,0.9993390107303126,10.0
7.22,0.4314668403031038,-3.469802708402972e-5,1.0952788133571856,0.6638119730540819,0.9993390012987313,10.0
7.23,0.431466011321079,-3.552700910879056e-5,1.09527902596893,0.6638130146478509,0.9993389927942616,10.0
7.24,0.43146526903588817,-3.626929429961344e-5,1.0952792157682294,0.6638139467323412,0.9993389852022896,10.0
7.25,0.4314646138791345,-3.692445105330036e-5,1.0952793831640626,0.6638147692849282,0.9993389785064561,10.0
7.26,0.4314640460614613,-3.749226872644611e-5,1.0952795286073331,0.6638154825458719,0.9993389726887254,10.0
7.27,0.43146356557595034,-3.797275423747541e-5,1.0952796525890633,0.6638160870131131,0.9993389677294562,10.0
7.28,0.43146317220198915,-3.836612819862366e-5,1.0952797556385117,0.6638165834365226,0.9993389636074783,10.0
7.29,0.43146286550959895,-3.86728205888652e-5,1.0952798383212616,0.6638169728116627,0.9993389603001683,10.0
7.3,0.4314626448641796,-3.889346600813989e-5,1.0952799012372263,0.6638172563730467,0.9993389577835298,10.0
7.31,0.4314625094316863,-3.902889850144953e-5,1.0952799450186197,0.6638174355869333,0.999338956032274,10.0
